,antecedents,consequents,support,confidence,lift
353,Monitor DarkKhaki 939,Mouse Chartreuse 292,0.00012060543930531267,0.5,188.4431818181818
352,Mouse Chartreuse 292,Monitor DarkKhaki 939,0.00012060543930531267,0.045454545454545456,188.4431818181818
4138,Speaker DarkRed 848,Mouse FireBrick 843,0.00012060543930531267,0.4,144.20000000000002
4160,Mouse MediumSpringGreen 253,SSD Lime 581,0.00012060543930531267,0.4,144.20000000000002
4161,SSD Lime 581,Mouse MediumSpringGreen 253,0.00012060543930531267,0.043478260869565216,144.2
4139,Mouse FireBrick 843,Speaker DarkRed 848,0.00012060543930531267,0.043478260869565216,144.2
3627,Dumbbell DarkTurquoise 262,Water Bottle DarkSlateBlue 296,0.00012060543930531267,0.05128205128205128,77.31002331002331
3626,Water Bottle DarkSlateBlue 296,Dumbbell DarkTurquoise 262,0.00012060543930531267,0.18181818181818182,77.31002331002331
416,Jeans AliceBlue 734,Jacket SlateBlue 368,0.00012060543930531267,0.2,73.70222222222223
417,Jacket SlateBlue 368,Jeans AliceBlue 734,0.00012060543930531267,0.044444444444444446,73.70222222222222
4176,Toaster DarkKhaki 752,Toaster DarkSalmon 374,0.00012060543930531267,0.15384615384615385,72.8923076923077
4177,Toaster DarkSalmon 374,Toaster DarkKhaki 752,0.00012060543930531267,0.05714285714285714,72.89230769230768
2320,Yoga Mat LightGray 141,Yoga Mat MistyRose 478,0.00012060543930531267,0.25,72.73245614035088
2321,Yoga Mat MistyRose 478,Yoga Mat LightGray 141,0.00012060543930531267,0.03508771929824561,72.73245614035088
4170,Serum Azure 850,Serum Green 626,0.00012060543930531267,0.09090909090909091,71.7878787878788
4171,Serum Green 626,Serum Azure 850,0.00012060543930531267,0.09523809523809523,71.78787878787878
832,Tennis Racket Pink 411,Moisturizer Tomato 428,0.00012060543930531267,0.125,71.47844827586206
833,Moisturizer Tomato 428,Tennis Racket Pink 411,0.00012060543930531267,0.06896551724137931,71.47844827586206
404,Vacuum DodgerBlue 485,Blender HotPink 301,0.00012060543930531267,0.06666666666666667,69.09583333333333
405,Blender HotPink 301,Vacuum DodgerBlue 485,0.00012060543930531267,0.125,69.09583333333333
3768,Serum Gainsboro 717,Hoodie Sienna 572,0.00012060543930531267,0.07407407407407407,64.65107212475634
3769,Hoodie Sienna 572,Serum Gainsboro 717,0.00012060543930531267,0.10526315789473684,64.65107212475633
3924,Water Bottle MistyRose 547,Puzzle Orange 783,0.00012060543930531267,0.18181818181818182,64.15087040618955
3925,Puzzle Orange 783,Water Bottle MistyRose 547,0.00012060543930531267,0.0425531914893617,64.15087040618955
363,Socks Magenta 735,Sneakers GreenYellow 927,0.00012060543930531267,0.11764705882352941,62.933586337760914
362,Sneakers GreenYellow 927,Socks Magenta 735,0.00012060543930531267,0.06451612903225806,62.93358633776091
3895,Air Fryer MediumTurquoise 637,Blender MediumOrchid 472,0.00012060543930531267,0.045454545454545456,62.81439393939394
3894,Blender MediumOrchid 472,Air Fryer MediumTurquoise 637,0.00012060543930531267,0.16666666666666666,62.81439393939394
377,Tennis Racket Tan 512,Water Bottle SaddleBrown 207,0.00012060543930531267,0.06666666666666667,61.418518518518525
376,Water Bottle SaddleBrown 207,Tennis Racket Tan 512,0.00012060543930531267,0.1111111111111111,61.41851851851851
4099,Jeans Salmon 748,Sneakers Snow 450,0.00012060543930531267,0.04,60.301818181818184
4098,Sneakers Snow 450,Jeans Salmon 748,0.00012060543930531267,0.18181818181818182,60.301818181818184
2880,Vacuum Black 596,Air Fryer RoyalBlue 882,0.00012060543930531267,0.08695652173913043,60.08333333333333
2881,Air Fryer RoyalBlue 882,Vacuum Black 596,0.00012060543930531267,0.08333333333333333,60.08333333333333
343,Sneakers DarkTurquoise 442,Socks DodgerBlue 956,0.00012060543930531267,0.16666666666666666,58.80496453900709
342,Socks DodgerBlue 956,Sneakers DarkTurquoise 442,0.00012060543930531267,0.0425531914893617,58.80496453900709
3629,Yoga Mat LightSteelBlue 240,Water Bottle DarkSlateBlue 296,0.00012060543930531267,0.03773584905660377,56.888507718696395
3628,Water Bottle DarkSlateBlue 296,Yoga Mat LightSteelBlue 240,0.00012060543930531267,0.18181818181818182,56.888507718696395
1386,Mouse MediumVioletRed 223,Speaker OrangeRed 371,0.00012060543930531267,0.06060606060606061,55.835016835016845
